species,length,weight,w_l_ratio
Anabas testudineus,6.88,3.08,0.45
Anabas testudineus,6.92,2.96,0.43
Anabas testudineus,8.75,2.99,0.34
Anabas testudineus,7.07,2.95,0.42
Anabas testudineus,8.68,3.06,0.35
Anabas testudineus,8.69,3.06,0.35
Anabas testudineus,6.68,3.04,0.45
Anabas testudineus,8.88,3.17,0.36
Anabas testudineus,9.07,3.02,0.33
Anabas testudineus,8.13,3.01,0.37
Anabas testudineus,8.59,3.12,0.36
Anabas testudineus,7.88,2.99,0.38
Anabas testudineus,7.45,3.0,0.4
Anabas testudineus,7.22,2.96,0.41
Anabas testudineus,7.58,2.96,0.39
Anabas testudineus,7.54,3.16,0.42
Anabas testudineus,6.86,3.06,0.45
Anabas testudineus,9.72,3.16,0.32
Anabas testudineus,7.6,2.87,0.38
Anabas testudineus,7.87,3.25,0.41
Anabas testudineus,7.2,2.97,0.41
Anabas testudineus,7.63,2.99,0.39
Anabas testudineus,7.23,3.05,0.42
Anabas testudineus,10.49,3.37,0.32
Anabas testudineus,7.18,3.17,0.44
Anabas testudineus,7.79,3.17,0.41
Anabas testudineus,7.14,3.11,0.44
Anabas testudineus,10.01,2.93,0.29
Anabas testudineus,7.79,3.09,0.4
Anabas testudineus,7.53,3.17,0.42
Anabas testudineus,7.75,3.06,0.39
Anabas testudineus,8.19,3.1,0.38
Anabas testudineus,8.14,2.87,0.35
Anabas testudineus,7.72,3.18,0.41
Anabas testudineus,8.83,3.05,0.35
Anabas testudineus,7.81,3.08,0.39
Anabas testudineus,9.2,3.1,0.34
Anabas testudineus,7.25,3.07,0.42
Anabas testudineus,8.71,3.17,0.36
Anabas testudineus,6.93,3.02,0.44
Anabas testudineus,9.44,3.15,0.33
Anabas testudineus,8.46,3.1,0.37
Anabas testudineus,8.39,3.0,0.36
Anabas testudineus,7.37,3.19,0.43
Anabas testudineus,10.3,3.34,0.32
Anabas testudineus,7.95,3.17,0.4
Anabas testudineus,7.09,3.02,0.43
Anabas testudineus,7.91,3.23,0.41
Anabas testudineus,6.87,3.08,0.45
Anabas testudineus,7.26,3.1,0.43
Anabas testudineus,7.98,3.19,0.4
Anabas testudineus,7.07,3.08,0.44
Anabas testudineus,8.96,3.07,0.34
Anabas testudineus,9.31,3.1,0.33
Anabas testudineus,6.8,2.89,0.42
Anabas testudineus,8.54,2.95,0.34
Anabas testudineus,8.66,3.09,0.36
Anabas testudineus,9.76,3.15,0.32
Anabas testudineus,7.34,3.07,0.42
Anabas testudineus,6.86,2.97,0.43
Anabas testudineus,10.13,3.23,0.32
Anabas testudineus,7.6,3.06,0.4
Anabas testudineus,7.92,3.1,0.39
Anabas testudineus,8.09,3.27,0.4
Anabas testudineus,9.02,3.06,0.34
Anabas testudineus,7.74,3.1,0.4
Anabas testudineus,6.89,3.05,0.44
Anabas testudineus,8.12,3.02,0.37
Anabas testudineus,7.02,2.97,0.42
Anabas testudineus,6.89,3.35,0.49
Anabas testudineus,7.76,3.11,0.4
Anabas testudineus,8.32,3.19,0.38
Anabas testudineus,6.7,3.11,0.46
Anabas testudineus,9.39,3.21,0.34
Anabas testudineus,7.34,3.15,0.43
Anabas testudineus,9.78,3.01,0.31
Anabas testudineus,7.65,3.25,0.43
Anabas testudineus,9.13,3.04,0.33
Anabas testudineus,9.26,3.02,0.33
Anabas testudineus,6.9,3.02,0.44
Anabas testudineus,8.23,3.1,0.38
Anabas testudineus,8.13,3.07,0.38
Anabas testudineus,7.89,3.07,0.39
Anabas testudineus,6.69,3.06,0.46
Anabas testudineus,9.76,3.14,0.32
Anabas testudineus,7.79,2.98,0.38
Anabas testudineus,6.51,3.07,0.47
Anabas testudineus,8.85,3.02,0.34
Anabas testudineus,9.87,3.15,0.32
Anabas testudineus,6.85,3.09,0.45
Anabas testudineus,9.41,2.94,0.31
Anabas testudineus,8.52,3.06,0.36
Anabas testudineus,6.83,3.09,0.45
Anabas testudineus,8.52,3.05,0.36
Anabas testudineus,8.51,2.89,0.34
Anabas testudineus,8.8,3.15,0.36
Anabas testudineus,9.21,3.09,0.34
Anabas testudineus,8.54,3.05,0.36
Anabas testudineus,8.08,3.17,0.39
Anabas testudineus,7.53,3.04,0.4
Anabas testudineus,7.71,2.97,0.39
Anabas testudineus,6.98,2.9,0.41
Anabas testudineus,6.76,3.06,0.45
Anabas testudineus,7.28,3.17,0.44
Anabas testudineus,7.78,2.95,0.38
Anabas testudineus,7.05,3.23,0.46
Anabas testudineus,7.55,2.93,0.39
Anabas testudineus,8.49,3.05,0.36
Anabas testudineus,7.65,2.99,0.39
Anabas testudineus,9.11,3.21,0.35
Anabas testudineus,9.09,3.2,0.35
Anabas testudineus,10.72,3.07,0.29
Anabas testudineus,8.21,3.08,0.37
Anabas testudineus,8.88,3.22,0.36
Anabas testudineus,8.26,3.17,0.38
Anabas testudineus,6.97,3.09,0.44
Anabas testudineus,7.98,2.96,0.37
Anabas testudineus,9.93,3.08,0.31
Anabas testudineus,6.47,3.2,0.49
Anabas testudineus,7.42,3.12,0.42
Anabas testudineus,7.63,2.99,0.39
Anabas testudineus,8.35,3.23,0.39
Anabas testudineus,6.76,2.94,0.44
Anabas testudineus,6.97,3.14,0.45
Anabas testudineus,8.9,3.16,0.36
Anabas testudineus,10.64,3.27,0.31
Anabas testudineus,9.88,3.12,0.32
Anabas testudineus,7.24,3.17,0.44
Anabas testudineus,9.7,3.2,0.33
Anabas testudineus,10.05,3.23,0.32
Anabas testudineus,9.47,3.25,0.34
Anabas testudineus,6.92,3.09,0.45
Anabas testudineus,8.23,3.18,0.39
Anabas testudineus,8.1,2.95,0.36
Anabas testudineus,7.33,2.95,0.4
Anabas testudineus,8.4,3.06,0.36
Anabas testudineus,6.77,2.98,0.44
Anabas testudineus,6.65,3.19,0.48
Anabas testudineus,7.58,2.96,0.39
Anabas testudineus,9.44,3.25,0.34
Anabas testudineus,7.16,3.11,0.43
Anabas testudineus,6.69,2.85,0.43
Anabas testudineus,10.78,3.13,0.29
Anabas testudineus,10.86,2.93,0.27
Anabas testudineus,7.76,3.15,0.41
Anabas testudineus,9.24,2.93,0.32
Anabas testudineus,6.98,3.1,0.44
Anabas testudineus,9.26,3.02,0.33
Anabas testudineus,10.2,3.14,0.31
Anabas testudineus,8.25,2.94,0.36
Anabas testudineus,7.66,2.9,0.38
Anabas testudineus,6.6,2.98,0.45
Anabas testudineus,7.81,3.03,0.39
Anabas testudineus,8.06,3.16,0.39
Anabas testudineus,7.31,3.08,0.42
Anabas testudineus,7.21,3.17,0.44
Anabas testudineus,7.06,3.01,0.43
Anabas testudineus,6.8,2.99,0.44
Anabas testudineus,9.53,3.15,0.33
Anabas testudineus,7.54,3.31,0.44
Anabas testudineus,10.62,3.13,0.29
Anabas testudineus,6.91,3.17,0.46
Anabas testudineus,7.52,3.04,0.4
Anabas testudineus,6.84,3.12,0.46
Anabas testudineus,9.07,3.29,0.36
Anabas testudineus,8.12,3.08,0.38
Anabas testudineus,7.26,2.97,0.41
Anabas testudineus,8.47,3.21,0.38
Anabas testudineus,6.89,2.91,0.42
Anabas testudineus,6.99,3.0,0.43
Anabas testudineus,7.47,2.98,0.4
Anabas testudineus,6.74,3.17,0.47
Anabas testudineus,9.2,3.12,0.34
Anabas testudineus,8.01,2.9,0.36
Anabas testudineus,7.8,3.07,0.39
Anabas testudineus,6.71,3.21,0.48
Anabas testudineus,10.27,3.27,0.32
Anabas testudineus,8.92,3.11,0.35
Anabas testudineus,8.63,3.17,0.37
Anabas testudineus,7.19,3.17,0.44
Anabas testudineus,7.89,3.03,0.38
Anabas testudineus,7.04,3.17,0.45
Anabas testudineus,8.56,3.16,0.37
Anabas testudineus,8.43,3.06,0.36
Anabas testudineus,7.62,3.12,0.41
Anabas testudineus,8.62,3.19,0.37
Anabas testudineus,7.59,2.81,0.37
Anabas testudineus,6.97,2.9,0.42
Anabas testudineus,8.73,3.11,0.36
Anabas testudineus,6.98,2.97,0.43
Anabas testudineus,8.25,3.16,0.38
Anabas testudineus,9.68,3.07,0.32
Anabas testudineus,7.35,3.0,0.41
Anabas testudineus,8.72,3.22,0.37
Anabas testudineus,7.1,3.02,0.43
Anabas testudineus,9.12,3.0,0.33
Anabas testudineus,7.28,3.22,0.44
Anabas testudineus,8.93,3.07,0.34
Anabas testudineus,7.09,3.03,0.43
Anabas testudineus,7.09,3.17,0.45
Anabas testudineus,7.76,3.19,0.41
Anabas testudineus,6.8,3.13,0.46
Anabas testudineus,9.4,3.13,0.33
Anabas testudineus,7.92,3.13,0.4
Anabas testudineus,7.0,3.13,0.45
Anabas testudineus,8.95,3.03,0.34
Anabas testudineus,7.86,2.96,0.38
Anabas testudineus,8.56,3.17,0.37
Anabas testudineus,10.92,3.05,0.28
Anabas testudineus,7.42,3.14,0.42
Anabas testudineus,8.86,3.2,0.36
Anabas testudineus,8.73,3.26,0.37
Anabas testudineus,9.96,3.02,0.3
Anabas testudineus,7.37,3.13,0.42
Anabas testudineus,9.29,3.22,0.35
Anabas testudineus,7.93,2.89,0.36
Anabas testudineus,8.18,3.19,0.39
Anabas testudineus,7.13,3.16,0.44
Anabas testudineus,8.34,3.06,0.37
Anabas testudineus,7.37,3.01,0.41
Anabas testudineus,7.63,3.01,0.39
Anabas testudineus,7.43,3.09,0.42
Anabas testudineus,7.45,3.04,0.41
Anabas testudineus,7.67,3.03,0.4
Anabas testudineus,8.45,2.97,0.35
Anabas testudineus,10.15,3.18,0.31
Anabas testudineus,8.38,3.19,0.38
Anabas testudineus,8.31,3.13,0.38
Anabas testudineus,8.83,3.18,0.36
Anabas testudineus,8.1,3.02,0.37
Anabas testudineus,8.21,3.25,0.4
Anabas testudineus,7.53,3.21,0.43
Anabas testudineus,8.47,3.01,0.36
Anabas testudineus,8.06,3.11,0.39
Anabas testudineus,10.14,3.12,0.31
Anabas testudineus,9.45,3.08,0.33
Anabas testudineus,7.12,3.1,0.44
Anabas testudineus,7.94,3.3,0.42
Anabas testudineus,9.22,3.02,0.33
Anabas testudineus,7.5,2.98,0.4
Anabas testudineus,7.21,3.25,0.45
Anabas testudineus,8.97,2.95,0.33
Anabas testudineus,7.72,3.0,0.39
Anabas testudineus,7.44,3.19,0.43
Anabas testudineus,8.79,3.12,0.35
Anabas testudineus,8.04,2.96,0.37
Anabas testudineus,10.37,3.14,0.3
Anabas testudineus,8.8,3.23,0.37
Anabas testudineus,9.72,3.2,0.33
Anabas testudineus,8.15,3.14,0.38
Anabas testudineus,9.37,3.17,0.34
Anabas testudineus,7.35,3.11,0.42
Anabas testudineus,10.12,3.08,0.3
Anabas testudineus,8.94,3.26,0.36
Anabas testudineus,7.93,3.22,0.41
Anabas testudineus,6.89,3.06,0.44
Anabas testudineus,7.42,2.96,0.4
Anabas testudineus,9.96,3.11,0.31
Anabas testudineus,7.06,3.07,0.43
Anabas testudineus,7.21,3.18,0.44
Anabas testudineus,7.62,3.24,0.42
Anabas testudineus,8.16,2.97,0.36
Anabas testudineus,7.74,3.19,0.41
Anabas testudineus,7.24,3.17,0.44
Anabas testudineus,6.51,3.1,0.48
Anabas testudineus,7.6,3.06,0.4
Anabas testudineus,8.71,3.29,0.38
Coilia dussumieri,19.06,2.55,0.13
Coilia dussumieri,17.81,2.43,0.14
Coilia dussumieri,16.39,2.21,0.13
Coilia dussumieri,17.71,2.74,0.15
Coilia dussumieri,18.98,2.5,0.13
Coilia dussumieri,17.23,2.7,0.16
Coilia dussumieri,20.17,2.45,0.12
Coilia dussumieri,19.88,2.35,0.12
Coilia dussumieri,17.41,2.42,0.14
Coilia dussumieri,16.02,2.37,0.15
Coilia dussumieri,20.26,2.47,0.12
Coilia dussumieri,20.06,2.31,0.12
Coilia dussumieri,20.2,2.79,0.14
Coilia dussumieri,17.38,2.24,0.13
Coilia dussumieri,20.39,2.29,0.11
Coilia dussumieri,20.32,2.57,0.13
Coilia dussumieri,18.45,2.36,0.13
Coilia dussumieri,17.43,2.97,0.17
Coilia dussumieri,19.54,2.4,0.12
Coilia dussumieri,16.58,2.31,0.14
Coilia dussumieri,20.29,2.76,0.14
Coilia dussumieri,19.64,2.74,0.14
Coilia dussumieri,19.58,2.66,0.14
Coilia dussumieri,16.75,2.51,0.15
Coilia dussumieri,19.76,2.44,0.12
Coilia dussumieri,17.37,2.41,0.14
Coilia dussumieri,20.49,2.62,0.13
Coilia dussumieri,20.47,2.61,0.13
Coilia dussumieri,19.64,2.35,0.12
Coilia dussumieri,20.4,2.47,0.12
Coilia dussumieri,18.39,2.24,0.12
Coilia dussumieri,19.31,2.56,0.13
Coilia dussumieri,18.49,2.52,0.14
Coilia dussumieri,20.14,2.13,0.11
Coilia dussumieri,19.92,2.43,0.12
Coilia dussumieri,16.19,2.65,0.16
Coilia dussumieri,18.97,2.34,0.12
Coilia dussumieri,16.37,2.39,0.15
Coilia dussumieri,20.22,2.53,0.13
Coilia dussumieri,19.23,2.74,0.14
Coilia dussumieri,19.7,2.23,0.11
Coilia dussumieri,18.24,2.63,0.14
Coilia dussumieri,17.68,2.45,0.14
Coilia dussumieri,18.72,2.38,0.13
Coilia dussumieri,17.82,2.07,0.12
Coilia dussumieri,18.51,2.36,0.13
Coilia dussumieri,17.93,2.49,0.14
Coilia dussumieri,15.24,2.38,0.16
Coilia dussumieri,18.82,2.28,0.12
Coilia dussumieri,18.89,2.44,0.13
Coilia dussumieri,19.36,2.36,0.12
Coilia dussumieri,18.8,2.65,0.14
Coilia dussumieri,19.59,2.4,0.12
Coilia dussumieri,20.23,2.57,0.13
Coilia dussumieri,19.89,2.54,0.13
Coilia dussumieri,18.59,2.64,0.14
Coilia dussumieri,18.25,2.55,0.14
Coilia dussumieri,19.47,2.73,0.14
Coilia dussumieri,19.38,2.58,0.13
Coilia dussumieri,18.24,2.35,0.13
Coilia dussumieri,18.26,2.42,0.13
Coilia dussumieri,19.99,2.57,0.13
Coilia dussumieri,19.26,2.56,0.13
Coilia dussumieri,18.63,2.45,0.13
Coilia dussumieri,20.7,2.88,0.14
Coilia dussumieri,19.57,2.86,0.15
Coilia dussumieri,18.33,2.19,0.12
Coilia dussumieri,20.68,2.39,0.12
Coilia dussumieri,17.24,2.67,0.16
Coilia dussumieri,17.11,2.44,0.14
Coilia dussumieri,19.85,2.37,0.12
Coilia dussumieri,19.22,2.48,0.13
Coilia dussumieri,19.8,2.38,0.12
Coilia dussumieri,19.38,2.36,0.12
Coilia dussumieri,15.82,2.46,0.16
Coilia dussumieri,18.16,2.49,0.14
Coilia dussumieri,17.69,2.49,0.14
Coilia dussumieri,17.79,2.73,0.15
Coilia dussumieri,20.23,2.56,0.13
Coilia dussumieri,19.31,2.63,0.14
Coilia dussumieri,20.29,2.64,0.13
Coilia dussumieri,17.43,2.39,0.14
Coilia dussumieri,19.73,2.6,0.13
Coilia dussumieri,19.6,2.3,0.12
Coilia dussumieri,15.98,2.58,0.16
Coilia dussumieri,20.59,2.14,0.1
Coilia dussumieri,19.21,2.56,0.13
Coilia dussumieri,17.09,2.3,0.13
Coilia dussumieri,15.48,2.43,0.16
Coilia dussumieri,19.08,2.42,0.13
Coilia dussumieri,19.03,2.67,0.14
Coilia dussumieri,18.52,2.42,0.13
Coilia dussumieri,20.47,2.31,0.11
Coilia dussumieri,19.44,2.61,0.13
Coilia dussumieri,17.29,2.56,0.15
Coilia dussumieri,16.75,2.54,0.15
Coilia dussumieri,19.68,2.51,0.13
Coilia dussumieri,19.31,2.11,0.11
Coilia dussumieri,20.36,2.54,0.12
Coilia dussumieri,20.66,2.26,0.11
Coilia dussumieri,19.42,2.29,0.12
Coilia dussumieri,20.32,2.46,0.12
Coilia dussumieri,18.76,2.82,0.15
Coilia dussumieri,20.73,2.17,0.1
Coilia dussumieri,18.32,2.36,0.13
Coilia dussumieri,16.78,2.46,0.15
Coilia dussumieri,19.57,2.6,0.13
Coilia dussumieri,15.73,2.23,0.14
Coilia dussumieri,17.77,2.41,0.14
Coilia dussumieri,16.87,2.08,0.12
Coilia dussumieri,19.4,2.52,0.13
Coilia dussumieri,18.31,2.4,0.13
Coilia dussumieri,19.09,2.5,0.13
Coilia dussumieri,19.54,2.46,0.13
Coilia dussumieri,17.73,2.43,0.14
Coilia dussumieri,18.39,2.68,0.15
Coilia dussumieri,16.88,2.52,0.15
Coilia dussumieri,17.32,2.46,0.14
Coilia dussumieri,18.76,2.51,0.13
Coilia dussumieri,20.25,2.57,0.13
Coilia dussumieri,18.96,2.34,0.12
Coilia dussumieri,20.57,2.22,0.11
Coilia dussumieri,18.98,2.74,0.14
Coilia dussumieri,19.72,2.31,0.12
Coilia dussumieri,17.9,2.34,0.13
Coilia dussumieri,19.82,2.33,0.12
Coilia dussumieri,16.59,2.52,0.15
Coilia dussumieri,16.59,2.46,0.15
Coilia dussumieri,18.03,2.51,0.14
Coilia dussumieri,19.06,2.28,0.12
Coilia dussumieri,19.64,2.38,0.12
Coilia dussumieri,16.29,2.59,0.16
Coilia dussumieri,20.5,2.62,0.13
Coilia dussumieri,16.5,2.49,0.15
Coilia dussumieri,17.05,2.67,0.16
Coilia dussumieri,16.59,2.38,0.14
Coilia dussumieri,20.63,2.61,0.13
Coilia dussumieri,20.2,2.59,0.13
Coilia dussumieri,20.11,2.48,0.12
Coilia dussumieri,19.74,2.56,0.13
Coilia dussumieri,18.61,2.41,0.13
Coilia dussumieri,20.18,2.48,0.12
Coilia dussumieri,18.97,2.53,0.13
Coilia dussumieri,18.03,2.19,0.12
Coilia dussumieri,19.3,2.55,0.13
Coilia dussumieri,19.06,2.68,0.14
Coilia dussumieri,18.63,2.4,0.13
Coilia dussumieri,18.37,2.36,0.13
Coilia dussumieri,19.42,2.5,0.13
Coilia dussumieri,18.45,2.46,0.13
Coilia dussumieri,17.09,2.86,0.17
Coilia dussumieri,20.29,2.57,0.13
Coilia dussumieri,19.71,2.69,0.14
Coilia dussumieri,19.56,2.37,0.12
Coilia dussumieri,19.39,2.54,0.13
Coilia dussumieri,17.23,2.53,0.15
Coilia dussumieri,18.75,2.69,0.14
Coilia dussumieri,19.57,2.4,0.12
Coilia dussumieri,17.0,2.1,0.12
Coilia dussumieri,19.88,2.53,0.13
Coilia dussumieri,20.3,2.52,0.12
Coilia dussumieri,16.33,2.44,0.15
Coilia dussumieri,20.43,2.33,0.11
Coilia dussumieri,16.99,2.42,0.14
Coilia dussumieri,16.83,2.31,0.14
Coilia dussumieri,20.23,2.43,0.12
Coilia dussumieri,19.83,2.45,0.12
Coilia dussumieri,16.73,2.57,0.15
Coilia dussumieri,19.15,2.49,0.13
Coilia dussumieri,18.42,2.31,0.13
Coilia dussumieri,18.03,2.29,0.13
Coilia dussumieri,18.81,2.45,0.13
Coilia dussumieri,19.74,2.52,0.13
Coilia dussumieri,19.25,2.31,0.12
Coilia dussumieri,17.07,2.62,0.15
Coilia dussumieri,19.13,2.56,0.13
Coilia dussumieri,18.01,2.77,0.15
Coilia dussumieri,19.63,2.75,0.14
Coilia dussumieri,17.85,2.58,0.14
Coilia dussumieri,15.58,2.55,0.16
